"child_interest","parent_interest"
"Song 2","Blur - Parklife"
"Girls & Boys","Blur - Parklife"
"Parklife","Blur - Parklife"
"Bad Habit","Steve Lacy - Gemini Rights"
"Dark Red","Steve Lacy - Gemini Rights"
"La Bachata","Manuel Turizo - Dopamina"
"Una Lady Como T̼","Manuel Turizo - Dopamina"
"Once in a Lifetime","Talking Heads - Remain in Light"
"This Must Be the Place","Talking Heads - Speaking in Tongues"
"Psycho Killer","Talking Heads - Speaking in Tongues"
"Moanin'","Art Blakey - Moanin'"
"A Night in Tunisia","Art Blakey - A Night at Birdland Vol. 1"
